Prompt,Version,content_urls,style_urls,char_urls,content_alt,style_alt,char_alt,palette,mood,texture,subject,action,style_or_type,place,time,parameters,tension_note,meta_json
"https://s.mj.run/4Ka5j7BE0Zc https://s.mj.run/GJpcLzFJp_w 70s photograph of retro futuristic spa in morocco with green plants, with a view, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/4Ka5j7BE0Zc https://s.mj.run/GJpcLzFJp_w ,,,BROKEN_URL | BROKEN_URL,,,green,retro,smooth,spa,,futuristic,Morocco,70s,--ar 4:5 --v 5.2,,"{
  ""palette"":""green"",
  ""mood"":""retro"",
  ""texture"":""smooth"",
  ""subject"":""spa"",
  ""action"":"""",
  ""style_or_type"":""futuristic"",
  ""place"":""Morocco"",
  ""time"":""70s"",
  ""parameters"":""--ar 4:5 --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/4Ka5j7BE0Zc https://s.mj.run/GJpcLzFJp_w 70s renaissance painting close-up of face of a scandinavian fashion models with long blonde hair in a beautiful holy blue room in morocco, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/4Ka5j7BE0Zc https://s.mj.run/GJpcLzFJp_w ,,,BROKEN_URL | BROKEN_URL,,,blue,serene,smooth,model,,renaissance,Morocco,70s,--ar 4:5 --v 5.2,,"{
  ""palette"": ""blue"",
  ""mood"": ""serene"",
  ""texture"": ""smooth"",
  ""subject"": ""model"",
  ""action"": """",
  ""style_or_type"": ""renaissance"",
  ""place"": ""Morocco"",
  ""time"": ""70s"",
  ""parameters"": ""--ar 4:5 --v 5.2"",
  ""tension_note"": """"
}"
"https://s.mj.run/ob6OGmJ47IE https://s.mj.run/zySWKxL19n0 https://s.mj.run/g0bQ-n9337I https://s.mj.run/X3sc0Mu_J1M https://s.mj.run/qA-h7h0cLbU 70s photograph of a red abstract sculpture with edges on a blue background, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/ob6OGmJ47IE https://s.mj.run/zySWKxL19n0 https://s.mj.run/g0bQ-n9337I https://s.mj.run/X3sc0Mu_J1M https://s.mj.run/qA-h7h0cLbU ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL,,,"red, blue",abstract,smooth,sculpture,,70s photograph,,70s,--ar 4:5 --v 5.2,,"{
  ""palette"":""red, blue"",
  ""mood"":""abstract"",
  ""texture"":""smooth"",
  ""subject"":""sculpture"",
  ""action"":"""",
  ""style_or_type"":""70s photograph"",
  ""place"":"""",
  ""time"":""70s"",
  ""parameters"":""--ar 4:5 --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/8z_r82f3GFs https://s.mj.run/TiTK21uRcIE https://s.mj.run/-5fJ4FXtI-U a 70s surrealist photograph of a woman in a mountainous landscape at dusk with a very long dress among giant flowers, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/8z_r82f3GFs https://s.mj.run/TiTK21uRcIE https://s.mj.run/-5fJ4FXtI-U ,,,"A person partially hidden behind a blue, textured garment with flowers. | A draped, deep blue fabric forms a mysterious, abstract shape. | Stylized mountain silhouette against a vibrant red background.",,,"blue, red",surreal,textured,woman,,70s surrealist,mountains,dusk,--ar 4:5 --v 5.2,mysterious,"{
  ""palette"":""blue, red"",
  ""mood"":""surreal"",
  ""texture"":""textured"",
  ""subject"":""woman"",
  ""action"":"""",
  ""style_or_type"":""70s surrealist"",
  ""place"":""mountains"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --v 5.2"",
  ""tension_note"":""mysterious""
}"
"https://s.mj.run/8z_r82f3GFs https://s.mj.run/BZi3TECq_TE a 70s surrealist photograph of a green flower in a mountainous landscape at dusk, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/8z_r82f3GFs https://s.mj.run/BZi3TECq_TE ,,,"A person partially hidden behind a blue, textured garment with flowers. | BROKEN_URL",,,green,surreal,textured,flower,,photograph,mountains,dusk,kodak portra,,"{
  ""palette"":""green"",
  ""mood"":""surreal"",
  ""texture"":""textured"",
  ""subject"":""flower"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""mountains"",
  ""time"":""dusk"",
  ""parameters"":""kodak portra"",
  ""tension_note"":""""
}"
"https://s.mj.run/8z_r82f3GFs a 70s surrealist photograph of a woman in a mountainous landscape at dusk with a very long dress, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/8z_r82f3GFs ,,,"A person partially hidden behind a blue, textured garment with flowers.",,,blue,surreal,textured,woman,,photograph,mountains,dusk,kodak portra,,"{
  ""palette"":""blue"",
  ""mood"":""surreal"",
  ""texture"":""textured"",
  ""subject"":""woman"",
  ""action"":"""",
  ""style_or_type"":""photograph"",
  ""place"":""mountains"",
  ""time"":""dusk"",
  ""parameters"":""kodak portra"",
  ""tension_note"":""""
}"
"https://s.mj.run/iYVMNdH0N2Q https://s.mj.run/PDGSCynsoZM https://s.mj.run/ED4ySCF8E88 https://s.mj.run/8z_r82f3GFs a 70s surrealist photograph of a woman sitting in a mountainous landscape at dusk with blue spheres, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/iYVMNdH0N2Q https://s.mj.run/PDGSCynsoZM https://s.mj.run/ED4ySCF8E88 https://s.mj.run/8z_r82f3GFs ,,,"Abstract pyramid of blue spheres under a glowing orb in darkness. | A surreal landscape with a tall building and colorful floating spheres. | A woman in a black outfit poses on rocky shore. | A person partially hidden behind a blue, textured garment with flowers.",,,blue,surreal,textured,woman,sitting,photograph,mountains,dusk,--ar 4:5 --v 5.2,,"{
  ""palette"":""blue"",
  ""mood"":""surreal"",
  ""texture"":""textured"",
  ""subject"":""woman"",
  ""action"":""sitting"",
  ""style_or_type"":""photograph"",
  ""place"":""mountains"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/iYVMNdH0N2Q https://s.mj.run/PDGSCynsoZM a 70s surrealist photograph of illuminated blue spheres levitating above a mountainous landscape at dusk, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/iYVMNdH0N2Q https://s.mj.run/PDGSCynsoZM ,,,Abstract pyramid of blue spheres under a glowing orb in darkness. | A surreal landscape with a tall building and colorful floating spheres.,,,blue,surreal,,spheres,levitating,surrealist,mountainous landscape,dusk,--ar 4:5 --v 5.2,,"{
  ""palette"": ""blue"",
  ""mood"": ""surreal"",
  ""texture"": """",
  ""subject"": ""spheres"",
  ""action"": ""levitating"",
  ""style_or_type"": ""surrealist"",
  ""place"": ""mountainous landscape"",
  ""time"": ""dusk"",
  ""parameters"": ""--ar 4:5 --v 5.2"",
  ""tension_note"": """"
}"
"https://s.mj.run/YJHKwWG_aGg https://s.mj.run/2QVHhJsEENI https://s.mj.run/0SxNwpKTGco https://s.mj.run/Ad8Z5PnNBLY bedroom in a house in the jungle in a 70s futuristic sci-fi movie set in lush utopia where mankind is in harmony with nature, evening, kodak portra, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/YJHKwWG_aGg https://s.mj.run/2QVHhJsEENI https://s.mj.run/0SxNwpKTGco https://s.mj.run/Ad8Z5PnNBLY ,,,"Lush green foliage with birds, depicting a serene natural scene. | BROKEN_URL | BROKEN_URL | BROKEN_URL",,,lush green,serene,,bedroom,,70s sci-fi,jungle,evening,"kodak portra, 35mm lens",,"{
  ""palette"": ""lush green"",
  ""mood"": ""serene"",
  ""texture"": """",
  ""subject"": ""bedroom"",
  ""action"": """",
  ""style_or_type"": ""70s sci-fi"",
  ""place"": ""jungle"",
  ""time"": ""evening"",
  ""parameters"": ""kodak portra, 35mm lens"",
  ""tension_note"": """"
}"
"https://s.mj.run/fzlf6Is67u8 https://s.mj.run/kgKbVtPoNLY https://s.mj.run/GLF1-KP1dEg 70s man with a cigarette in the streets of tokyo at dusk, pink sky, kodak portra, --ar 4:5 --v 5.2",5.2,https://s.mj.run/fzlf6Is67u8 https://s.mj.run/kgKbVtPoNLY https://s.mj.run/GLF1-KP1dEg ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL,,,pink,nostalgic,film,man,smoking,70s,Tokyo,dusk,--ar 4:5 --v 5.2,,"{
  ""palette"":""pink"",
  ""mood"":""nostalgic"",
  ""texture"":""film"",
  ""subject"":""man"",
  ""action"":""smoking"",
  ""style_or_type"":""70s"",
  ""place"":""Tokyo"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/q4VX6CiRb8k https://s.mj.run/H9wgRrwvVJU https://s.mj.run/HRr8-claOJ0 https://s.mj.run/w1i1V3mMHJQ 70s red sphere sculpture on top of skyscraper in tokyo at dusk, pink sky, kodak portra, --ar 4:5 --v 5.2",5.2,https://s.mj.run/q4VX6CiRb8k https://s.mj.run/H9wgRrwvVJU https://s.mj.run/HRr8-claOJ0 https://s.mj.run/w1i1V3mMHJQ ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL | Busy urban street with neon signs and pedestrians at dusk.,,,pink,urban,smooth,sculpture,sitting,70s,Tokyo,dusk,--ar 4:5 --v 5.2,,"{
  ""palette"":""pink"",
  ""mood"":""urban"",
  ""texture"":""smooth"",
  ""subject"":""sculpture"",
  ""action"":""sitting"",
  ""style_or_type"":""70s"",
  ""place"":""Tokyo"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/zi-brL8Vz-w https://s.mj.run/-VkrHeRgNVQ https://s.mj.run/us3Yc4l0QyI https://s.mj.run/Gb7-_j4z5XM Parisian buildings covered in colorful butterflies during sunset in summer, birds eye view, kodak portra, 35mm lens, --ar 4:5 --v 5.2",5.2,https://s.mj.run/zi-brL8Vz-w https://s.mj.run/-VkrHeRgNVQ https://s.mj.run/us3Yc4l0QyI https://s.mj.run/Gb7-_j4z5XM ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL,,,colorful,serene,smooth,butterflies,covering,photography,Paris,sunset,35mm lens,,"{
  ""palette"":""colorful"",
  ""mood"":""serene"",
  ""texture"":""smooth"",
  ""subject"":""butterflies"",
  ""action"":""covering"",
  ""style_or_type"":""photography"",
  ""place"":""Paris"",
  ""time"":""sunset"",
  ""parameters"":""35mm lens"",
  ""tension_note"":""""
}"
"https://s.mj.run/1UKIYwY-idc https://s.mj.run/W4CFdIchhDE https://s.mj.run/NNrsBvgwiUU https://s.mj.run/UrGnZ6H-9AE a lush park with furry sculptures in vibrant colors designed by Alejandro Jodorowski, a scene from a 70s sci-fi movie, kodak portra, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/1UKIYwY-idc https://s.mj.run/W4CFdIchhDE https://s.mj.run/NNrsBvgwiUU https://s.mj.run/UrGnZ6H-9AE ,,,BROKEN_URL | BROKEN_URL | Colorful dunes under a vibrant sky with a large red moon. | Colorful abstract sculpture with layered shapes against a blue background.,,,vibrant,playful,furry,sculptures,,sci-fi,park,70s,35mm,,"{
  ""palette"":""vibrant"",
  ""mood"":""playful"",
  ""texture"":""furry"",
  ""subject"":""sculptures"",
  ""action"":"""",
  ""style_or_type"":""sci-fi"",
  ""place"":""park"",
  ""time"":""70s"",
  ""parameters"":""35mm"",
  ""tension_note"":""""
}"
"https://s.mj.run/PyXrEsfNKkw https://s.mj.run/NNrsBvgwiUU https://s.mj.run/UrGnZ6H-9AE cClose up of beautiful female in lingerie dancing among colorful sculptures desert at dawn, 70s sci - fi movie, kodak portra, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/PyXrEsfNKkw https://s.mj.run/NNrsBvgwiUU https://s.mj.run/UrGnZ6H-9AE ,,,"Colorful rock formations illuminated by soft, warm light at dusk. | Colorful dunes under a vibrant sky with a large red moon. | Colorful abstract sculpture with layered shapes against a blue background.",,,colorful,vibrant,soft,female,dancing,sci-fi,desert,dawn,--ar 4:5 --v 5.2,,"{
  ""palette"":""colorful"",
  ""mood"":""vibrant"",
  ""texture"":""soft"",
  ""subject"":""female"",
  ""action"":""dancing"",
  ""style_or_type"":""sci-fi"",
  ""place"":""desert"",
  ""time"":""dawn"",
  ""parameters"":""--ar 4:5 --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/NNrsBvgwiUU https://s.mj.run/UrGnZ6H-9AE scene from a 70s sci-fi movie with colorful scultpures in a colorful desert, kodak portra, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/NNrsBvgwiUU https://s.mj.run/UrGnZ6H-9AE ,,,Colorful dunes under a vibrant sky with a large red moon. | Colorful abstract sculpture with layered shapes against a blue background.,,,colorful,vibrant,abstract,sculptures,,sci-fi,desert,70s,"kodak portra, 35mm lens, --ar 4:5, --v 5.2",,"{
  ""palette"":""colorful"",
  ""mood"":""vibrant"",
  ""texture"":""abstract"",
  ""subject"":""sculptures"",
  ""action"":"""",
  ""style_or_type"":""sci-fi"",
  ""place"":""desert"",
  ""time"":""70s"",
  ""parameters"":""kodak portra, 35mm lens, --ar 4:5, --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/l13O-VRTjGA https://s.mj.run/u9vQoqy4fhY https://s.mj.run/7IVtYrAMAIE a native american woman wearing retro futuristic outift with gold and flowers in the desert at dawn, kodak portra, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/l13O-VRTjGA https://s.mj.run/u9vQoqy4fhY https://s.mj.run/7IVtYrAMAIE ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL,,,gold,nostalgic,smooth,woman,,retro futuristic,desert,dawn,--ar 4:5 --v 5.2,,"{
  ""palette"": ""gold"",
  ""mood"": ""nostalgic"",
  ""texture"": ""smooth"",
  ""subject"": ""woman"",
  ""action"": """",
  ""style_or_type"": ""retro futuristic"",
  ""place"": ""desert"",
  ""time"": ""dawn"",
  ""parameters"": ""--ar 4:5 --v 5.2"",
  ""tension_note"": """"
}"
"https://s.mj.run/DIbLAR3ilbY https://s.mj.run/4bMZXTT5Y8k https://s.mj.run/4RhuLPM-uXw https://s.mj.run/xqfmW2sxqCo a scene from a 70s sci-fi movie with a cave with water and mountains futuristic glass sculptures, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/DIbLAR3ilbY https://s.mj.run/4bMZXTT5Y8k https://s.mj.run/4RhuLPM-uXw https://s.mj.run/xqfmW2sxqCo ,,,"Four squares in orange and yellow shades. Simple geometric design. | Colorful butterflies floating against a dark, blurred background. | Vibrant gradient of orange and red colors in a rectangular composition. | Colorful abstract patterns with swirling shapes and gradients.",,,"orange, yellow",futuristic,smooth,"cave, water, mountains",,sci-fi,cave,70s,"kodak portra, --ar 4:5, --v 5.2",,"{
  ""palette"":""orange, yellow"",
  ""mood"":""futuristic"",
  ""texture"":""smooth"",
  ""subject"":""cave, water, mountains"",
  ""action"":"""",
  ""style_or_type"":""sci-fi"",
  ""place"":""cave"",
  ""time"":""70s"",
  ""parameters"":""kodak portra, --ar 4:5, --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/nj9jIX5zdgo https://s.mj.run/7CW8RD4FQyA https://s.mj.run/aeWNlEMuPZE https://s.mj.run/qoFhpS2s9hE https://s.mj.run/QVQjmlnpPD4 https://s.mj.run/bt6i5nPFoCw 70s shared futuristic spiritual space for worship without walls on top on a mountain in the evening, kodak portra, --ar 4:5 --v 5.2",5.2,https://s.mj.run/nj9jIX5zdgo https://s.mj.run/7CW8RD4FQyA https://s.mj.run/aeWNlEMuPZE https://s.mj.run/qoFhpS2s9hE https://s.mj.run/QVQjmlnpPD4 https://s.mj.run/bt6i5nPFoCw ,,,BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL | BROKEN_URL,,,warm,spiritual,smooth,worship space,,futuristic,mountain,evening,"Kodak Portra, --ar 4:5, --v 5.2",,"{
  ""palette"": ""warm"",
  ""mood"": ""spiritual"",
  ""texture"": ""smooth"",
  ""subject"": ""worship space"",
  ""action"": """",
  ""style_or_type"": ""futuristic"",
  ""place"": ""mountain"",
  ""time"": ""evening"",
  ""parameters"": ""Kodak Portra, --ar 4:5, --v 5.2"",
  ""tension_note"": """"
}"
"https://s.mj.run/k8BQLyx4gQ8 https://s.mj.run/gfZ-YaTocM4 70s orange floating glass sculpture in front of a deep green backgrop, kodak portra --ar 4:5 --v 5.2",5.2,https://s.mj.run/k8BQLyx4gQ8 https://s.mj.run/gfZ-YaTocM4 ,,,BROKEN_URL | BROKEN_URL,,,"orange, green",vintage,glass,sculpture,floating,70s,,70s,--ar 4:5 --v 5.2,,"{
  ""palette"":""orange, green"",
  ""mood"":""vintage"",
  ""texture"":""glass"",
  ""subject"":""sculpture"",
  ""action"":""floating"",
  ""style_or_type"":""70s"",
  ""place"":"""",
  ""time"":""70s"",
  ""parameters"":""--ar 4:5 --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/wRE5-KenTrg https://s.mj.run/asK90QjRt2I https://s.mj.run/lzzGMKEaXPk https://s.mj.run/pvLCEGWLExA interiors of a 70s futuristic home with green plants near the water on the mediterranean at dusk, pastel colors, kodak portra, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/wRE5-KenTrg https://s.mj.run/asK90QjRt2I https://s.mj.run/lzzGMKEaXPk https://s.mj.run/pvLCEGWLExA ,,,Abstract red building with geometric windows and doorways. | Red vertical structures create a striking architectural entrance. | Blue spheres floating above a dirt road in a grassy landscape. | Vibrant artwork depicting a mythical figure battling a serpent under a moon.,,,pastel,futuristic,smooth,interiors,,70s,mediterranean,dusk,35mm,,"{
  ""palette"":""pastel"",
  ""mood"":""futuristic"",
  ""texture"":""smooth"",
  ""subject"":""interiors"",
  ""action"":"""",
  ""style_or_type"":""70s"",
  ""place"":""mediterranean"",
  ""time"":""dusk"",
  ""parameters"":""35mm"",
  ""tension_note"":""""
}"
"https://s.mj.run/wRE5-KenTrg https://s.mj.run/asK90QjRt2I https://s.mj.run/lzzGMKEaXPk https://s.mj.run/pvLCEGWLExA 70s futuristic village near the water on the mediterranean in the afternoon, with people, pastel colors, kodak portra, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/wRE5-KenTrg https://s.mj.run/asK90QjRt2I https://s.mj.run/lzzGMKEaXPk https://s.mj.run/pvLCEGWLExA ,,,Abstract red building with geometric windows and doorways. | Red vertical structures create a striking architectural entrance. | Blue spheres floating above a dirt road in a grassy landscape. | Vibrant artwork depicting a mythical figure battling a serpent under a moon.,,,pastel,futuristic,,village,battling,70s,Mediterranean,afternoon,"Kodak Portra, 35mm lens",,"{
  ""palette"": ""pastel"",
  ""mood"": ""futuristic"",
  ""texture"": """",
  ""subject"": ""village"",
  ""action"": ""battling"",
  ""style_or_type"": ""70s"",
  ""place"": ""Mediterranean"",
  ""time"": ""afternoon"",
  ""parameters"": ""Kodak Portra, 35mm lens"",
  ""tension_note"": """"
}"
"https://s.mj.run/9MpYMzF-hlY https://s.mj.run/bn4kOUOaVKA 60s photography of shell shaped golden sculptures in a mountanous landscape at dusk, fujifilm fujicolor --ar 4:5 --v 5.2",5.2,https://s.mj.run/9MpYMzF-hlY https://s.mj.run/bn4kOUOaVKA ,,,"Golden shell-shaped object with ridges, hanging on a wall. | Colorful layered mountains under a clear blue sky.",,,gold,nostalgic,smooth,sculptures,,60s photography,mountains,dusk,--ar 4:5 --v 5.2,,"{
  ""palette"":""gold"",
  ""mood"":""nostalgic"",
  ""texture"":""smooth"",
  ""subject"":""sculptures"",
  ""action"":"""",
  ""style_or_type"":""60s photography"",
  ""place"":""mountains"",
  ""time"":""dusk"",
  ""parameters"":""--ar 4:5 --v 5.2"",
  ""tension_note"":""""
}"
"https://s.mj.run/wRE5-KenTrg https://s.mj.run/asK90QjRt2I https://s.mj.run/lzzGMKEaXPk https://s.mj.run/pvLCEGWLExA 70s futuristic oasis village in the desert in the evening, with people, kodak portra, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/wRE5-KenTrg https://s.mj.run/asK90QjRt2I https://s.mj.run/lzzGMKEaXPk https://s.mj.run/pvLCEGWLExA ,,,Abstract red building with geometric windows and doorways. | Red vertical structures create a striking architectural entrance. | Blue spheres floating above a dirt road in a grassy landscape. | Vibrant artwork depicting a mythical figure battling a serpent under a moon.,,,"red, blue",futuristic,geometric,oasis village,battling,vibrant,desert,evening,35mm lens,mythical,"{
  ""palette"":""red, blue"",
  ""mood"":""futuristic"",
  ""texture"":""geometric"",
  ""subject"":""oasis village"",
  ""action"":""battling"",
  ""style_or_type"":""vibrant"",
  ""place"":""desert"",
  ""time"":""evening"",
  ""parameters"":""35mm lens"",
  ""tension_note"":""mythical""
}"
"https://s.mj.run/wRE5-KenTrg https://s.mj.run/asK90QjRt2I https://s.mj.run/lzzGMKEaXPk https://s.mj.run/pvLCEGWLExA 70s futuristic glass sculptures in the desert in the evening, kodak portra, 35mm lens --ar 4:5 --v 5.2",5.2,https://s.mj.run/wRE5-KenTrg https://s.mj.run/asK90QjRt2I https://s.mj.run/lzzGMKEaXPk https://s.mj.run/pvLCEGWLExA ,,,Abstract red building with geometric windows and doorways. | Red vertical structures create a striking architectural entrance. | Blue spheres floating above a dirt road in a grassy landscape. | Vibrant artwork depicting a mythical figure battling a serpent under a moon.,,,"red, blue",futuristic,glass,sculptures,,abstract,desert,evening,35mm lens,geometric,"{
  ""palette"":""red, blue"",
  ""mood"":""futuristic"",
  ""texture"":""glass"",
  ""subject"":""sculptures"",
  ""action"":"""",
  ""style_or_type"":""abstract"",
  ""place"":""desert"",
  ""time"":""evening"",
  ""parameters"":""35mm lens"",
  ""tension_note"":""geometric""
}"
"https://s.mj.run/G5iwtbF1OaM https://s.mj.run/wQAyNjHGJnM https://s.mj.run/Vk8P9m2f0js https://s.mj.run/IoZHrKUkVDY a 70s art photograph on film of a large surreal art installation in a large museum hall, with spectators, kodak portra --ar 4:5 --v 7",7,https://s.mj.run/G5iwtbF1OaM https://s.mj.run/wQAyNjHGJnM https://s.mj.run/Vk8P9m2f0js https://s.mj.run/IoZHrKUkVDY ,,,A glowing blue jellyfish with radiating tentacles against a dark background. | Abstract artwork with vibrant colors and textured patterns. | Colorful abstract waves with circular shapes and vibrant gradients. | A red pond surrounded by mossy terrain and mountains.,,,vibrant,surreal,textured,art installation,spectating,70s photograph,museum hall,70s,kodak portra,,"{
  ""palette"":""vibrant"",
  ""mood"":""surreal"",
  ""texture"":""textured"",
  ""subject"":""art installation"",
  ""action"":""spectating"",
  ""style_or_type"":""70s photograph"",
  ""place"":""museum hall"",
  ""time"":""70s"",
  ""parameters"":""kodak portra"",
  ""tension_note"":""""
}"
